"rm","cidade","state","state_code","cod_ibge","capital","year","month","number_deaths"
"Sorocaba","Sorocaba","SP",35,"3552205",1,2019,6,396
"Sorocaba","Sorocaba","SP",35,"3552205",1,2019,7,518
"Sorocaba","Sorocaba","SP",35,"3552205",1,2019,8,410
"Sorocaba","Sorocaba","SP",35,"3552205",1,2019,9,414
"Sorocaba","Sorocaba","SP",35,"3552205",1,2019,10,444
"Sorocaba","Sorocaba","SP",35,"3552205",1,2019,11,346
"Sorocaba","Sorocaba","SP",35,"3552205",1,2019,12,370
"Sorocaba","Sorocaba","SP",35,"3552205",1,2020,1,484
"Sorocaba","Sorocaba","SP",35,"3552205",1,2020,2,394
"Sorocaba","Sorocaba","SP",35,"3552205",1,2020,3,449
"Sorocaba","Sorocaba","SP",35,"3552205",1,2020,4,421
"Sorocaba","Sorocaba","SP",35,"3552205",1,2020,5,356
"Sorocaba","Sorocaba","SP",35,"3552205",1,2020,6,493
"Vitória","Vitória","ES",32,"3205309",1,2019,1,205
"Vitória","Vitória","ES",32,"3205309",1,2019,2,182
"Vitória","Vitória","ES",32,"3205309",1,2019,3,213
"Vitória","Vitória","ES",32,"3205309",1,2019,4,202
"Vitória","Vitória","ES",32,"3205309",1,2019,5,248
"Vitória","Vitória","ES",32,"3205309",1,2019,6,223
"Vitória","Vitória","ES",32,"3205309",1,2019,7,236
"Vitória","Vitória","ES",32,"3205309",1,2019,8,211
"Vitória","Vitória","ES",32,"3205309",1,2019,9,216
"Vitória","Vitória","ES",32,"3205309",1,2019,10,199
"Vitória","Vitória","ES",32,"3205309",1,2019,11,196
"Vitória","Vitória","ES",32,"3205309",1,2019,12,234
"Vitória","Vitória","ES",32,"3205309",1,2020,1,227
"Vitória","Vitória","ES",32,"3205309",1,2020,2,187
"Vitória","Vitória","ES",32,"3205309",1,2020,3,228
"Vitória","Vitória","ES",32,"3205309",1,2020,4,220
"Vitória","Vitória","ES",32,"3205309",1,2020,5,302
"Vitória","Vitória","ES",32,"3205309",1,2020,6,333
"Baixada Santista","Santos","SP",35,"3548500",1,2019,1,448
"Baixada Santista","Santos","SP",35,"3548500",1,2019,2,382
"Baixada Santista","Santos","SP",35,"3548500",1,2019,3,387
"Baixada Santista","Santos","SP",35,"3548500",1,2019,4,443
"Baixada Santista","Santos","SP",35,"3548500",1,2019,5,447
"Baixada Santista","Santos","SP",35,"3548500",1,2019,6,363
"Baixada Santista","Santos","SP",35,"3548500",1,2019,7,384
"Baixada Santista","Santos","SP",35,"3548500",1,2019,8,404
"Baixada Santista","Santos","SP",35,"3548500",1,2019,9,397
"Baixada Santista","Santos","SP",35,"3548500",1,2019,10,446
"Baixada Santista","Santos","SP",35,"3548500",1,2019,11,338
"Baixada Santista","Santos","SP",35,"3548500",1,2019,12,317
"Baixada Santista","Santos","SP",35,"3548500",1,2020,1,471
"Baixada Santista","Santos","SP",35,"3548500",1,2020,2,346
"Baixada Santista","Santos","SP",35,"3548500",1,2020,3,375
"Baixada Santista","Santos","SP",35,"3548500",1,2020,4,444
"Baixada Santista","Santos","SP",35,"3548500",1,2020,5,434
"Baixada Santista","Santos","SP",35,"3548500",1,2020,6,584
"Ribeirão Preto","Ribeirão Preto","SP",35,"3543402",1,2019,1,417
"Ribeirão Preto","Ribeirão Preto","SP",35,"3543402",1,2019,2,349
"Ribeirão Preto","Ribeirão Preto","SP",35,"3543402",1,2019,3,367
"Ribeirão Preto","Ribeirão Preto","SP",35,"3543402",1,2019,4,396
"Ribeirão Preto","Ribeirão Preto","SP",35,"3543402",1,2019,5,453
"Ribeirão Preto","Ribeirão Preto","SP",35,"3543402",1,2019,6,432
"Ribeirão Preto","Ribeirão Preto","SP",35,"3543402",1,2019,7,546
"Ribeirão Preto","Ribeirão Preto","SP",35,"3543402",1,2019,8,439
"Ribeirão Preto","Ribeirão Preto","SP",35,"3543402",1,2019,9,359
"Ribeirão Preto","Ribeirão Preto","SP",35,"3543402",1,2019,10,402
"Ribeirão Preto","Ribeirão Preto","SP",35,"3543402",1,2019,11,333
"Ribeirão Preto","Ribeirão Preto","SP",35,"3543402",1,2019,12,365
"Ribeirão Preto","Ribeirão Preto","SP",35,"3543402",1,2020,1,418
"Ribeirão Preto","Ribeirão Preto","SP",35,"3543402",1,2020,2,360
"Ribeirão Preto","Ribeirão Preto","SP",35,"3543402",1,2020,3,408
"Ribeirão Preto","Ribeirão Preto","SP",35,"3543402",1,2020,4,359
"Ribeirão Preto","Ribeirão Preto","SP",35,"3543402",1,2020,5,363
"Ribeirão Preto","Ribeirão Preto","SP",35,"3543402",1,2020,6,579
"Natal","Natal","RN",24,"2408102",1,2019,1,528
"Natal","Natal","RN",24,"2408102",1,2019,2,440
"Natal","Natal","RN",24,"2408102",1,2019,3,461
"Natal","Natal","RN",24,"2408102",1,2019,4,502
"Natal","Natal","RN",24,"2408102",1,2019,5,546
"Natal","Natal","RN",24,"2408102",1,2019,6,400
"Natal","Natal","RN",24,"2408102",1,2019,7,562
"Natal","Natal","RN",24,"2408102",1,2019,8,453
"Natal","Natal","RN",24,"2408102",1,2019,9,462
"Natal","Natal","RN",24,"2408102",1,2019,10,389
"Natal","Natal","RN",24,"2408102",1,2019,11,393
"Natal","Natal","RN",24,"2408102",1,2019,12,416
"Natal","Natal","RN",24,"2408102",1,2020,1,440
"Natal","Natal","RN",24,"2408102",1,2020,2,390
"Natal","Natal","RN",24,"2408102",1,2020,3,440
"Natal","Natal","RN",24,"2408102",1,2020,4,417
"Natal","Natal","RN",24,"2408102",1,2020,5,369
"Natal","Natal","RN",24,"2408102",1,2020,6,705
"São Luís","São Luís","MA",21,"2111300",1,2019,1,558
"São Luís","São Luís","MA",21,"2111300",1,2019,2,492
"São Luís","São Luís","MA",21,"2111300",1,2019,3,529
"São Luís","São Luís","MA",21,"2111300",1,2019,4,525
"São Luís","São Luís","MA",21,"2111300",1,2019,5,609
"São Luís","São Luís","MA",21,"2111300",1,2019,6,414
"São Luís","São Luís","MA",21,"2111300",1,2019,7,373
"São Luís","São Luís","MA",21,"2111300",1,2019,8,315
"São Luís","São Luís","MA",21,"2111300",1,2019,9,374
"São Luís","São Luís","MA",21,"2111300",1,2019,10,368
"São Luís","São Luís","MA",21,"2111300",1,2019,11,339
"São Luís","São Luís","MA",21,"2111300",1,2019,12,474
"São Luís","São Luís","MA",21,"2111300",1,2020,1,542
"São Luís","São Luís","MA",21,"2111300",1,2020,2,526
"São Luís","São Luís","MA",21,"2111300",1,2020,3,487
"São Luís","São Luís","MA",21,"2111300",1,2020,4,851
"São Luís","São Luís","MA",21,"2111300",1,2020,5,1069
"São Luís","São Luís","MA",21,"2111300",1,2020,6,698
"Piracicaba","Piracicaba","SP",35,"3538709",1,2019,1,294
"Piracicaba","Piracicaba","SP",35,"3538709",1,2019,2,246
"Piracicaba","Piracicaba","SP",35,"3538709",1,2019,3,222
"Piracicaba","Piracicaba","SP",35,"3538709",1,2019,4,263
"Piracicaba","Piracicaba","SP",35,"3538709",1,2019,5,263
"Piracicaba","Piracicaba","SP",35,"3538709",1,2019,6,249
"Piracicaba","Piracicaba","SP",35,"3538709",1,2019,7,344
"Piracicaba","Piracicaba","SP",35,"3538709",1,2019,8,296
"Piracicaba","Piracicaba","SP",35,"3538709",1,2019,9,241
"Piracicaba","Piracicaba","SP",35,"3538709",1,2019,10,282
"Piracicaba","Piracicaba","SP",35,"3538709",1,2019,11,247
"Piracicaba","Piracicaba","SP",35,"3538709",1,2019,12,217
"Piracicaba","Piracicaba","SP",35,"3538709",1,2020,1,300
"Piracicaba","Piracicaba","SP",35,"3538709",1,2020,2,207
"Piracicaba","Piracicaba","SP",35,"3538709",1,2020,3,238
"Piracicaba","Piracicaba","SP",35,"3538709",1,2020,4,216
"Piracicaba","Piracicaba","SP",35,"3538709",1,2020,5,211
"Piracicaba","Piracicaba","SP",35,"3538709",1,2020,6,300
"Norte-NE Catarinense","Joinville","SC",42,"4209102",1,2019,1,317
"Norte-NE Catarinense","Joinville","SC",42,"4209102",1,2019,2,262
"Norte-NE Catarinense","Joinville","SC",42,"4209102",1,2019,3,268
"Norte-NE Catarinense","Joinville","SC",42,"4209102",1,2019,4,268
"Norte-NE Catarinense","Joinville","SC",42,"4209102",1,2019,5,258
"Norte-NE Catarinense","Joinville","SC",42,"4209102",1,2019,6,261
"Norte-NE Catarinense","Joinville","SC",42,"4209102",1,2019,7,288
"Norte-NE Catarinense","Joinville","SC",42,"4209102",1,2019,8,299
"Norte-NE Catarinense","Joinville","SC",42,"4209102",1,2019,9,295
"Norte-NE Catarinense","Joinville","SC",42,"4209102",1,2019,10,309
"Norte-NE Catarinense","Joinville","SC",42,"4209102",1,2019,11,264
"Norte-NE Catarinense","Joinville","SC",42,"4209102",1,2019,12,272
"Norte-NE Catarinense","Joinville","SC",42,"4209102",1,2020,1,269
"Norte-NE Catarinense","Joinville","SC",42,"4209102",1,2020,2,240
"Norte-NE Catarinense","Joinville","SC",42,"4209102",1,2020,3,198
"Norte-NE Catarinense","Joinville","SC",42,"4209102",1,2020,4,297
"Norte-NE Catarinense","Joinville","SC",42,"4209102",1,2020,5,239
"Norte-NE Catarinense","Joinville","SC",42,"4209102",1,2020,6,272
"Maceio","Maceió","AL",27,"2704302",1,2019,1,591
"Maceio","Maceió","AL",27,"2704302",1,2019,2,565
"Maceio","Maceió","AL",27,"2704302",1,2019,3,594
"Maceio","Maceió","AL",27,"2704302",1,2019,4,561
"Maceio","Maceió","AL",27,"2704302",1,2019,5,692
"Maceio","Maceió","AL",27,"2704302",1,2019,6,533
"Maceio","Maceió","AL",27,"2704302",1,2019,7,541
"Maceio","Maceió","AL",27,"2704302",1,2019,8,580
"Maceio","Maceió","AL",27,"2704302",1,2019,9,552
"Maceio","Maceió","AL",27,"2704302",1,2019,10,552
"Maceio","Maceió","AL",27,"2704302",1,2019,11,550
"Maceio","Maceió","AL",27,"2704302",1,2019,12,551
